epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13883.6,1.85739,2.85322,1.87178,0.08189,0.07207,0.02688,0.00801,2.7617,4.03032,2.6379,0.000332894,0.000332894,0.0670435
2,16350.5,1.76973,2.46053,1.81174,0.14302,0.15165,0.07442,0.02442,2.63367,3.53209,2.43398,0.000666065,0.000666065,0.0340433
3,16627.2,1.71009,2.29877,1.74782,0.23051,0.18638,0.12285,0.03992,2.6583,3.42918,2.48761,0.000998584,0.000998584,0.0010425
4,27461.8,1.70326,2.23484,1.7359,0.22534,0.19026,0.11624,0.04321,2.49575,3.10922,2.32223,0.000997803,0.000997803,0.000997803
5,38475.5,1.673,2.1548,1.70724,0.25357,0.19633,0.13105,0.05092,2.48281,3.08708,2.3054,0.000996097,0.000996097,0.000996097
6,19956,1.61901,2.04385,1.659,0.28983,0.20489,0.14598,0.0494,2.56934,3.33704,2.39169,0.000993906,0.000993906,0.000993906
7,20414.8,1.53936,1.90521,1.59777,0.30428,0.21218,0.15696,0.0544,2.55127,3.09302,2.33564,0.000991232,0.000991232,0.000991232
8,32329.3,1.58829,1.95658,1.63168,0.28144,0.23299,0.17139,0.0627,2.43854,2.80841,2.23673,0.000988079,0.000988079,0.000988079
9,22716.6,1.59939,1.95201,1.63867,0.29313,0.2522,0.19701,0.07573,2.37122,2.84846,2.193,0.000984449,0.000984449,0.000984449
10,33753.2,1.56825,1.89593,1.61496,0.30166,0.23571,0.17579,0.07133,2.34758,2.7511,2.16405,0.000980345,0.000980345,0.000980345
11,15382.1,1.5193,1.80604,1.57362,0.33029,0.27221,0.22478,0.08518,2.38002,2.68971,2.19504,0.000975773,0.000975773,0.000975773
12,25513.3,1.50125,1.74686,1.56198,0.30073,0.26054,0.18199,0.07068,2.34814,2.6504,2.13979,0.000970736,0.000970736,0.000970736
13,15234.8,1.50137,1.74665,1.5554,0.32825,0.28683,0.21516,0.08229,2.40523,2.73889,2.17318,0.000965239,0.000965239,0.000965239
